Distance (km),Traffic Load (Erlangs),Time (s),BER (Linear),BER (dB)
44.38349312,3.095777563,0,0.23000781,6.382574171
46.16501529,1.183792813,0.0100010001,0.05204644828,12.83608902
31.60860734,3.956634816,0.0200020002,0.001802151279,27.44208756
90.14236805,2.78992518,0.0300030003,1,0
64.64699871,0.6120832528,0.0400040004,0.04893958569,13.10339712
47.00513652,2.567839516,0.0500050005,0.1017686153,9.923861346
74.9854549,1.443060347,0.0600060006,0.3117310103,5.062199929
16.11943703,1.154585713,0.0700070007,0.0002202096338,36.57163685
47.47829637,2.010023243,0.0800080008,0.0623235424,12.0534787
66.01727569,2.467628079,0.0900090009,1,0
88.28689221,1.832953042,0.100010001,1,0
9.7599772,2.965439646,0.1100110011,0.003992922448,23.98709125
86.72234389,1.464966145,0.1200120012,1,0
93.38091144,2.198049475,0.1300130013,1,0
3.671341405,1.746816831,0.1400140014,0.0004397252897,33.56818556
51.62436027,3.813109101,0.1500150015,0.09835039304,10.072239
82.34914784,3.982380027,0.1600160016,1,0
67.25850965,2.291067953,0.1700170017,1,0
1.093198917,2.847823387,0.1800180018,0.0005654040949,32.4764105
55.25728764,2.675644214,0.1900190019,0.2024835647,6.93610222
87.30979115,0.7654135907,0.200020002,0.1216669714,9.148273027
43.46687627,0.8197676852,0.2100210021,0.0007214980129,31.41764861
44.20050018,3.978848069,0.2200220022,0.08392432604,10.76112138
13.20188365,3.624575389,0.2300230023,0.01908431913,17.1932333
12.14950312,2.070740573,0.2400240024,0.001739720275,27.59520575
61.90147129,1.93136975,0.2500250025,0.1977946638,7.037854291
48.0210029,2.892196857,0.2600260026,0.287518077,5.41334845
57.11193727,3.24921815,0.2700270027,0.08014671266,10.96114286
80.90142135,3.640251886,0.2800280028,1,0
69.50959484,1.77774175,0.2900290029,0.2846004609,5.45764401
70.9480341,0.4669433458,0.300030003,0.06352009077,11.9708889
83.67347754,1.114288076,0.3100310031,1,0
6.778918848,3.152120268,0.3200320032,0.001006760248,29.97073941
64.66897238,1.282411361,0.3300330033,0.1900994016,7.210192501
49.41701207,1.416387643,0.3400340034,0.167993391,7.747078035
40.19229887,2.778557676,0.3500350035,0.06262285451,12.0326714
5.115888346,0.196397528,0.3600360036,0.001128676235,29.47430619
47.20938542,2.133907543,0.3700370037,0.002599338141,25.85137221
1.791095482,0.6647709065,0.3800380038,0.001191090144,29.24055369
87.18974949,3.679286056,0.3900390039,1,0
79.77412155,0.7226917025,0.400040004,0.265175396,5.764667739
93.78209412,1.493716612,0.4100410041,1,0
89.68224583,1.709523353,0.4200420042,1,0
67.75738686,3.526220781,0.4300430043,1,0
85.14839445,3.078597391,0.4400440044,1,0
24.00129897,3.968339132,0.4500450045,0.04205612799,13.76170714
64.83232344,1.876709833,0.4600460046,0.2401533631,6.195113271
69.43392555,2.030775899,0.4700470047,0.2585644159,5.874312437
82.540175,3.6149004,0.4800480048,1,0
62.46454546,0.5140594719,0.4900490049,0.00255216848,25.93090659
17.53526813,0.353463281,0.500050005,0.001564499811,28.05624485
66.27138699,1.065154014,0.5100510051,0.005935427318,22.26548009
21.95825372,1.377127808,0.5200520052,0.001626532856,27.8873716
62.88903913,2.490979865,0.5300530053,0.1414117237,8.49514584
76.60349697,2.710489315,0.5400540054,1,0
14.20224266,3.883013929,0.5500550055,0.002342334139,26.30351152
29.20296354,3.419167234,0.5600560056,0.171548929,7.656119891
48.92566314,2.795993286,0.5700570057,0.299141779,5.241229279
74.50416208,0.5696750239,0.5800580058,0.1174872797,9.300091518
86.08810567,1.484921964,0.5900590059,1,0
24.24213233,1.398616804,0.600060006,0.004946414704,23.05709475
15.94154471,3.294427668,0.6100610061,0.02412149977,16.17595693
51.12934962,0.9077933323,0.6200620062,0.01144899268,19.41232722
68.29040144,1.912721404,0.6300630063,0.2511462472,6.00073307
18.94034779,2.461863233,0.6400640064,0.03198122286,14.95104934
38.87876255,3.117717637,0.6500650065,0.2534201306,5.961588896
25.10909085,0.7689683344,0.6600660066,0.002098204037,26.78152282
96.48789596,1.785423486,0.6700670067,1,0
66.10970679,3.216641749,0.6800680068,1,0
18.61829427,1.101889681,0.6900690069,0.002151124679,26.67334417
33.33640258,3.299972821,0.700070007,0.0232045205,16.34427401
26.13317384,3.470817981,0.7100710071,0.0023225246,26.34039677
14.21619117,3.720407691,0.7200720072,0.1038050488,9.837815229
59.20949111,2.194863237,0.7300730073,0.1976481495,7.041072475
93.4560295,1.497199939,0.7400740074,1,0
94.76919328,3.593638605,0.7500750075,1,0
12.01085125,0.262937617,0.7600760076,0.002365221981,26.26128094
3.742421398,3.559617084,0.7700770077,0.002565995504,25.90744109
30.4893006,3.418126826,0.7800780078,0.09549175901,10.20034107
3.516977016,1.952860913,0.7900790079,0.003366119337,24.72870491
42.87706602,0.955313268,0.800080008,0.01733580652,17.61055949
37.02989913,1.305586248,0.8100810081,0.003527832625,24.52492028
9.075401082,3.613465045,0.8200820082,0.004946317386,23.0571802
63.44227901,2.939475305,0.8300830083,1,0
51.40184966,0.4259936042,0.8400840084,0.002608689547,25.83577602
85.46167525,2.427558359,0.8500850085,1,0
57.8961539,3.898872056,0.8600860086,1,0
76.22362127,0.8649743552,0.8700870087,0.1282156086,8.920591017
10.74949098,0.6869324741,0.8800880088,0.00276772205,25.57877526
85.53934497,3.654650049,0.8900890089,1,0
4.620566428,1.591066559,0.900090009,0.002790252198,25.54356541
67.58038227,2.242015437,0.9100910091,1,0
23.20691687,0.8340699203,0.9200920092,0.002871664946,25.41866233
52.84650804,1.671547111,0.9300930093,0.0649424443,11.87471369
53.37633885,1.491627984,0.9400940094,0.163323828,7.869504496
48.27252548,2.232070589,0.9500950095,0.07627743748,11.17603905
7.290155133,3.248353407,0.9600960096,0.003226782064,24.91230366
98.01240995,1.289877274,0.9700970097,1,0
